"","start_date","end_date","minutes","benzene","sample","lat","long","site","site_id"
"1",2024-02-07,2024-02-14,9995,"9.1","sample","39.903826"," -75.213963","1st St",99
"2",2024-02-14,2024-02-21,10083,"0.99","sample","39.903826"," -75.213963","1st St",99
"3",2024-02-21,2024-02-28,10018,"1.8","sample","39.903826"," -75.213963","1st St",99
"4",2024-02-28,2024-03-06,10005,"0.92","sample","39.903826"," -75.213963","1st St",99
"5",2024-03-06,2024-03-13,10305,"1.5","sample","39.903826"," -75.213963","1st St",99
"6",2024-03-13,2024-03-20,9870,"0.99","sample","39.903826"," -75.213963","1st St",99
"7",2024-03-20,2024-03-27,10140,"0.91","sample","39.903826"," -75.213963","1st St",99
"8",2024-03-27,2024-04-03,9990,"0.95","sample","39.903826"," -75.213963","1st St",99
"9",2024-04-03,2024-04-10,10251,"2.5","sample","39.903826"," -75.213963","1st St",99
"10",2024-04-10,2024-04-17,10056,"0.72","sample","39.903826"," -75.213963","1st St",99
"11",2024-04-17,2024-04-24,9795,"0.94","sample","39.903826"," -75.213963","1st St",99
"12",2024-04-24,2024-05-01,10225,"1","sample","39.903826"," -75.213963","1st St",99
